Labels,בדיקת תאריך עדכון של לשרטוט,סוף,Issue key,התחלה,Σ Time Spent,Custom field (מנהל פרויקט),Custom field (סוג פרויקט),Custom field (סוג פרויקט).1,Custom field (סכום החשבון),Custom field (תשומות - משרד),Custom field (תשומות - שטח),משך בימי עבודה,SLA התחייבות (ימים),תאריך סיום צפוי (SLA),שטח בדונם
16601-01,4/14/2024 15:50,4/14/2024 15:50,PROJ-11469,3/19/2024 14:30,75600,לימור באואר,מדידות לתכנון,,,27,27,19,65,6/26/2024 0:00,
15088-09,5/23/2024 11:52,5/23/2024 11:52,PROJ-11449,3/19/2024 10:45,57600,,עדכון מדידה,,,9,9,44,32,05/08/2024 00:00,
16914-21,05/02/2024 11:11,05/02/2024 11:11,PROJ-11380,3/18/2024 8:58,25200,מירי לוי,איתור תשתיות,,,4.5,4.5,30,128,9/22/2024 0:00,
16858-05,10/30/2024 14:47,10/30/2024 14:47,PROJ-11335,3/17/2024 9:56,372600,מירי לוי,מדידה להיתר,מדידת פנים ואדריכלי,,27,36,154,38,5/14/2024 0:00,
16481-30,5/23/2024 7:29,5/23/2024 7:29,PROJ-11320,3/17/2024 9:20,68400,מירי לוי,מדידה להיתר,,,9,9,46,38,5/14/2024 0:00,
17283-07,8/24/2025 10:45,8/24/2025 10:45,PROJ-11314,3/17/2024 9:06,18000,לימור באואר,מדידות לתכנון,,35000,90,90,363,65,6/24/2024 0:00,
16393-96,3/26/2024 15:42,3/26/2024 15:42,PROJ-11264,3/13/2024 14:40,,מירי,מדידות לתכנון,,,90,90,10,65,6/20/2024 0:00,
16642-05,3/25/2024 11:49,3/25/2024 11:49,PROJ-11183,03/11/2024 14:40,14400,ליאור,מדידה להיתר,,,5,0,11,38,05/08/2024 00:00,
16837-02,05/12/2024 15:43,05/12/2024 15:43,PROJ-11117,03/10/2024 15:09,187740,מירי לוי,מדידות לתכנון,,,0,0,42,65,6/17/2024 0:00,
17282,04/08/2024 09:22,04/08/2024 09:22,PROJ-10939,03/04/2024 15:07,93600,נטע פסטרנק,אורתופוטו,איתור תשתיות,,18,18,26,131,09/11/2024 00:00,26.8
17090-01,03/12/2024 15:08,03/12/2024 15:08,PROJ-10917,03/04/2024 12:19,3600,מירי,מדידת אזמייד,,,0,0,7,9,3/17/2024 0:00,
16455-29,03/11/2024 14:09,03/11/2024 14:09,PROJ-10660,2/21/2024 10:32,8100,מירי,סימון,,,9,27,14,88,07/02/2024 00:00,
16978-06,3/21/2024 11:03,3/21/2024 11:03,PROJ-10594,2/19/2024 11:50,54000,מירי לוי,סימון,,,9,9,24,88,6/30/2024 0:00,
15403-69-01,7/21/2024 8:33,7/21/2024 8:33,PROJ-10567,2/15/2024 15:10,271800,מירי לוי,איתור תשתיות,,323641.38,0,0,106,128,8/21/2024 0:00,
16823-14,03/04/2024 22:43,03/04/2024 22:43,PROJ-10514,2/13/2024 15:52,7200,אשר אברהרד,מדידות לתכנון,,,0,0,15,65,5/20/2024 0:00,
16393-91,2/29/2024 16:38,2/29/2024 16:38,PROJ-10465,02/12/2024 14:28,54000,מירי לוי,מדידות לתכנון,,,12,13.5,14,65,5/19/2024 0:00,
17153-01,09/07/2025 11:04,09/07/2025 11:04,PROJ-10379,02/07/2024 10:29,206700,לימור,מדידה להיתר,,,18,18,400,38,04/01/2024 00:00,
14274-70,03/05/2024 15:22,03/05/2024 15:22,PROJ-10373,02/06/2024 10:58,21600,לימור באואר,מדידות לתבע,,,2,0,21,22,03/07/2024 00:00,
17272,2/26/2024 9:31,2/26/2024 9:31,PROJ-10267,02/04/2024 14:00,21600,לימור באואר,אורתופוטו,סקר עצים,,0,0,17,131,8/13/2024 0:00,
17268,04/04/2024 15:36,04/04/2024 15:36,PROJ-10203,02/01/2024 11:29,97200,מירי לוי,מדידות לתכנון,,,27,27,46,65,05/08/2024 00:00,
17264,03/05/2024 15:19,03/05/2024 15:19,PROJ-10106,1/30/2024 13:33,14400,מירי לוי,פוטוגרמטריה,,,0,0,26,36,3/20/2024 0:00,61
17105-06,11/21/2024 13:01,11/21/2024 13:01,PROJ-10066,1/29/2024 11:39,482400,מירי,מדידות לתכנון,,,0,0,204,65,05/05/2024 00:00,
16414-08_,3/17/2024 9:35,3/17/2024 9:35,PROJ-9951,1/25/2024 11:17,126000,אשר אברהרד,מדידות לתכנון,,99727.94,0,0,37,65,05/01/2024 00:00,
15403-69,2/18/2024 16:20,2/18/2024 16:20,PROJ-9902,1/23/2024 8:35,97800,מירי לוי,מדידות לתכנון,,,0,0,19,65,4/29/2024 0:00,
16978-04,2/15/2024 14:27,2/15/2024 14:27,PROJ-9891,1/22/2024 13:03,14400,מירי לוי,עבודת משרד,,,9,0,19,20,2/19/2024 0:00,
17156-24,03/12/2024 16:25,03/12/2024 16:25,PROJ-9735,1/17/2024 15:25,39600,לימור,מדידות לתכנון,,,0,0,40,65,4/17/2024 0:00,
17156-18,2/13/2024 15:00,2/13/2024 15:00,PROJ-9697,1/17/2024 14:40,57600,לימור,מדידות לתכנון,,,0,0,20,65,4/17/2024 0:00,
17156-15,2/29/2024 10:23,2/29/2024 10:23,PROJ-9641,1/16/2024 15:51,84600,אשר,מדידות לתכנון,,,0,0,33,65,4/16/2024 0:00,
17256,02/05/2024 16:31,02/05/2024 16:31,PROJ-9617,1/16/2024 14:50,93600,לימור,מדידות לתכנון,,,5,9,15,65,4/16/2024 0:00,
17254,2/25/2024 8:43,2/25/2024 8:43,PROJ-9522,01/11/2024 11:48,44100,מירי,מדידות לתכנון,,,9,9,32,65,04/11/2024 00:00,
16914-14-02,2/14/2024 10:13,2/14/2024 10:13,PROJ-9303,01/03/2024 15:31,37800,מירי,מדידה להיתר,,,5,5,31,38,2/26/2024 0:00,
16914-14-01,1/18/2024 9:22,1/18/2024 9:22,PROJ-9293,01/03/2024 14:06,23400,מירי,מדידה להיתר,,,9,9,12,38,2/26/2024 0:00,
16217-03,01/02/2024 12:19,01/02/2024 12:19,PROJ-9117,12/27/2023 13:39,12600,מירי,עדכון מדידה,,,5,5,5,32,02/11/2024 00:00,
16914-13-02,01/03/2024 14:19,01/03/2024 14:19,PROJ-9067,12/26/2023 13:56,18000,מירי לוי,מדידה להיתר,,,0,0,7,38,2/18/2024 0:00,
16773-03,11/17/2025 6:37,11/17/2025 6:37,PROJ-9033,12/26/2023 11:35,124260,בני,סימון,,,9,9,477,88,05/02/2024 00:00,
16364-30,1/25/2024 15:30,1/25/2024 15:30,PROJ-8965,12/24/2023 15:01,86400,אשר אברהרד,מדידות לתכנון,,,18,36,25,65,3/24/2024 0:00,
17247,4/17/2024 11:20,4/17/2024 11:20,PROJ-8835,12/19/2023 8:52,118800,מירי לוי,איתור תשתיות,,,13.5,9,87,128,6/24/2024 0:00,
16863-12,12/28/2023 17:11,12/28/2023 17:11,PROJ-8794,12/18/2023 14:24,36000,אשר,מדידות לתכנון,,,9,9,9,65,3/18/2024 0:00,
15403-15-03,1/16/2024 12:44,1/16/2024 12:44,PROJ-8714,12/14/2023 14:24,401700,מירי לוי,מדידות לתכנון,,,45,63,24,65,3/14/2024 0:00,
17239,11/26/2025 8:55,11/26/2025 8:55,PROJ-8603,12/10/2023 15:20,143400,לימור באואר,מדידות לתכנון,,,36,27,496,65,03/10/2024 00:00,
16615-03,12/21/2023 10:43,12/21/2023 10:43,PROJ-8282,11/29/2023 16:25,10800,לימור,מדידות לתכנון,עדכון מדידה,,18,18,17,65,2/28/2024 0:00,
16914-11,01/12/2026 09:39,01/12/2026 09:39,PROJ-8206,11/27/2023 12:44,1572300,מירי לוי ,איתור תשתיות,,146130,99,81,538,128,5/29/2024 0:00,
17105-04,12/14/2023 14:39,12/14/2023 14:39,PROJ-7927,11/19/2023 12:40,35940,לימור,מדידות לתכנון,,,18,18,20,65,2/18/2024 0:00,
16914-10-01,11/23/2023 15:05,11/23/2023 15:05,PROJ-7905,11/19/2023 10:28,27000,מירי,מדידה להיתר,,,9,9,5,38,01/10/2024 00:00,
16983-01,10/20/2025 13:52,10/20/2025 13:52,PROJ-7876,11/16/2023 13:04,223800,מירי לוי,מדידות לתבע,,,18,13.5,485,22,12/18/2023 0:00,10
16481-28,11/29/2023 14:34,11/29/2023 14:34,PROJ-7845,11/15/2023 15:24,21600,מירי,חישוב כמויות,מדידות לתכנון,,14,9,11,18,12/11/2023 00:00,
16914-08,3/14/2024 13:12,3/14/2024 13:12,PROJ-7823,11/14/2023 14:28,37200,מירי,מדידות לתכנון,,,14,18,88,65,2/13/2024 0:00,
17005-07,07/01/2024 11:13,07/01/2024 11:13,PROJ-7674,11/08/2023 11:18,277500,לימור,מדידות לתכנון,,,18,18,163,65,02/07/2024 00:00,46
16789-06,09/01/2025 15:31,09/01/2025 15:31,PROJ-7590,11/06/2023 10:10,368400,מירי,איתור תשתיות,,,18,18,463,128,05/08/2024 00:00,
17205,12/03/2023 15:53,12/03/2023 15:53,PROJ-7407,10/31/2023 12:52,118200,מירי,מדידות לתכנון,,,5,9,24,65,1/30/2024 0:00,
16836-08,11/22/2023 11:14,11/22/2023 11:14,PROJ-7395,10/31/2023 10:16,81360,מירי,מחלקת תצר - עבודות נוספות,,,0,0,17,17,11/23/2023 0:00,
17007-06,5/13/2024 11:09,5/13/2024 11:09,PROJ-7308,10/26/2023 14:37,63300,מירי לוי,עדכון מדידה,,,3,4,139,32,12/11/2023 00:00,
15349-69,10/22/2023 11:20,10/22/2023 11:20,PROJ-7147,10/17/2023 14:53,21600,לימור,סימון,,,9,9,4,88,2/18/2024 0:00,
17169,12/17/2023 16:11,12/17/2023 16:11,PROJ-6629,9/21/2023 12:46,237600,מירי,איתור תשתיות,,85178.98,9,9,62,128,3/19/2024 0:00,
17179,1/18/2024 14:11,1/18/2024 14:11,PROJ-6584,9/19/2023 13:18,64800,מירי,סימון,,,18,27,88,88,1/21/2024 0:00,
17142-09,01/02/2024 15:51,01/02/2024 15:51,PROJ-6277,09/06/2023 13:21,167400,,איתור תשתיות,,,9,9,85,128,03/04/2024 00:00,
15403-64,11/20/2023 11:57,11/20/2023 11:57,PROJ-6264,09/06/2023 11:19,192660,מירי,איתור תשתיות,,,27,27,54,128,03/04/2024 00:00,
16473-39,09/11/2023 09:17,09/11/2023 09:17,PROJ-5934,8/24/2023 10:54,10800,מירי לוי,מדידות לתכנון,,,27,45,13,65,11/23/2023 0:00,
16268-05_,8/28/2023 14:38,8/28/2023 14:38,PROJ-5914,8/23/2023 15:08,7200,מירי לולי,עדכון מדידה,,,4.5,4.5,4,32,10/08/2023 00:00,
16364-22,10/09/2023 09:02,10/09/2023 09:02,PROJ-5828,8/21/2023 10:08,374400,אשר אברהרד,עדכון מדידה,,,9,9,36,32,10/04/2023 00:00,
17007-02,9/18/2023 13:41,9/18/2023 13:41,PROJ-5634,8/15/2023 10:23,28800,לימור באואר,חישוב כמויות,מדידות לתכנון,,9,18,25,18,09/10/2023 00:00,
16971-02,8/23/2023 15:16,8/23/2023 15:16,PROJ-5613,8/14/2023 12:23,3600,מירי לוי,קומפילציה,,,3,0,8,8,8/24/2023 0:00,
17156-04,8/14/2023 11:13,8/14/2023 11:13,PROJ-5363,08/07/2023 11:43,7200,לימור,מדידות לתכנון,,,4,4,6,65,11/06/2023 00:00,
17156-03,8/14/2023 11:01,8/14/2023 11:01,PROJ-5357,08/07/2023 11:41,10800,לימור,מדידות לתכנון,,,4,4,6,65,11/06/2023 00:00,
17156-02,8/15/2023 13:47,8/15/2023 13:47,PROJ-5351,08/07/2023 11:37,7200,לימור,מדידות לתכנון,,,4,4,7,65,11/06/2023 00:00,
17156-01,8/14/2023 11:06,8/14/2023 11:06,PROJ-5338,08/07/2023 11:12,7200,לימור,מדידות לתכנון,,,4,4,6,65,11/06/2023 00:00,
16328-09,8/31/2023 10:31,8/31/2023 10:31,PROJ-5244,08/02/2023 11:52,21600,אשר,מדידות לתכנון,,,5,5,22,65,11/01/2023 00:00,
17155-01,8/15/2023 16:25,8/15/2023 16:25,PROJ-5161,7/31/2023 11:41,21600,מירי לוי,סקר עצים,,,9,9,12,54,10/15/2023 0:00,
16481-25,12/07/2023 08:03,12/07/2023 08:03,PROJ-4977,7/24/2023 12:02,805740,לימור באואר,מדידות לתכנון,,,180,180,99,65,10/23/2023 0:00,1.2
14274-64,08/03/2023 12:46,08/03/2023 12:46,PROJ-4946,7/20/2023 16:23,50400,לימור,מדידות לתכנון,,,9,9,11,65,10/19/2023 0:00,
17001-08,8/13/2023 11:27,8/13/2023 11:27,PROJ-4862,7/19/2023 17:21,230400,לימור,מדידות לתכנון,,,45,45,18,65,10/18/2023 0:00,
16861-07,8/31/2023 15:42,8/31/2023 15:42,PROJ-4673,7/17/2023 10:31,39600,אשר,עדכון מדידה,,,9,9,34,32,8/30/2023 0:00,
16258-09,7/13/2023 7:58,7/13/2023 7:58,PROJ-4475,07/11/2023 10:50,25200,מירי,עבודת משרד,,,5,0,3,20,08/08/2023 00:00,
17143-03,8/13/2023 16:05,8/13/2023 16:05,PROJ-4464,07/11/2023 09:18,30600,אשר אברהרד,מדידות לתכנון,,,18,18,24,65,10/10/2023 00:00,
17143-02_פרויקט_מס'_3_-_שד'_הקיבוצים_-_מדר,08/02/2023 11:33,08/02/2023 11:33,PROJ-4457,07/11/2023 08:53,55200,אשר אברהרד,מדידות לתכנון,,,18,18,17,65,10/10/2023 00:00,
17143-01,08/02/2023 10:33,08/02/2023 10:33,PROJ-4444,07/10/2023 14:34,45000,אשר אברהרד,מדידות לתכנון,,,18,18,18,65,10/09/2023 00:00,
16474-15,08/03/2023 10:34,08/03/2023 10:34,PROJ-4357,07/09/2023 11:11,34620,מירי,מדידות לתכנון,,,15,27,20,65,10/08/2023 00:00,
17140,05/05/2024 10:58,05/05/2024 10:58,PROJ-4331,07/06/2023 14:36,68400,מירי לוי,מדידות לתכנון,,,18,27,213,65,10/05/2023 00:00,
17115-05,7/20/2023 12:37,7/20/2023 12:37,PROJ-4270,07/05/2023 13:03,25200,לימור,מדידות לתכנון,,,9,9,12,65,10/04/2023 00:00,
17017-01,8/18/2025 15:45,8/18/2025 15:45,PROJ-4162,07/03/2023 09:53,1499940,בני,ליווי הפקעות,,1810262,0,0,543,543,8/19/2025 0:00,
17134,09/10/2023 10:16,09/10/2023 10:16,PROJ-4071,6/29/2023 12:30,66900,לימור באואר,מדידה להיתר,,,18,13.5,52,38,8/22/2023 0:00,0.9
16866-02,8/22/2023 13:30,8/22/2023 13:30,PROJ-3956,6/27/2023 13:58,41400,מירי לוי,עדכון מדידה,,,4.5,9,41,32,08/10/2023 00:00,
15403-60,9/21/2023 12:03,9/21/2023 12:03,PROJ-3892,6/25/2023 11:44,37800,מירי,מדידות לתכנון,,,90,90,65,65,9/24/2023 0:00,
16823-02-11,7/24/2023 7:26,7/24/2023 7:26,PROJ-3859,6/22/2023 11:28,106260,אשר,מדידות לתכנון,,,9,9,23,65,9/21/2023 0:00,
17005-06,6/27/2023 10:58,6/27/2023 10:58,PROJ-3839,6/22/2023 8:13,14400,לימור,מדידת אזמייד,,,9,9,4,9,07/05/2023 00:00,
16294-06,07/04/2023 16:08,07/04/2023 16:08,PROJ-3810,6/21/2023 12:59,75900,מירי,מדידות לתבע,,,18,18,10,22,7/23/2023 0:00,
17128,07/10/2023 11:51,07/10/2023 11:51,PROJ-3765,6/20/2023 14:26,101940,מירי,מדידה להיתר,,,5,9,15,38,8/13/2023 0:00,1
16954-02,07/06/2023 15:02,07/06/2023 15:02,PROJ-3730,6/20/2023 12:01,94500,לימור,מדידות ביצוע,,,9,9,13,24,7/24/2023 0:00,
16189-07,6/28/2023 16:01,6/28/2023 16:01,PROJ-3712,6/19/2023 12:48,18000,מירי,מדידה להיתר,עדכון מדידה,,5,3,8,38,08/10/2023 00:00,
16481-24,07/02/2023 11:27,07/02/2023 11:27,PROJ-3699,6/19/2023 11:12,14400,מירי,מדידות לתכנון,,,18,27,10,65,9/18/2023 0:00,11
16823-02-10,8/13/2023 15:55,8/13/2023 15:55,PROJ-3603,6/18/2023 13:37,57720,לימור,מדידות לתכנון,,,9,9,41,65,9/17/2023 0:00,
15349-64,7/19/2023 15:28,7/19/2023 15:28,PROJ-3569,6/15/2023 14:57,57600,לימור,מדידות לתכנון,,,5,5,25,65,9/14/2023 0:00,
17105-03,6/28/2023 14:56,6/28/2023 14:56,PROJ-3493,6/14/2023 11:00,102000,מירי,מדידות לתכנון,,,23,45,11,65,9/13/2023 0:00,
15349-63,6/29/2023 10:40,6/29/2023 10:40,PROJ-3455,6/13/2023 11:49,10800,לימור,מסירת פוליגונים,,,3,9,13,93,10/22/2023 0:00,
17126,08/07/2023 17:01,08/07/2023 17:01,PROJ-3442,6/13/2023 10:51,87300,מירי,פוטוגרמטריה,,,0,0,40,36,08/02/2023 00:00,10
16473-32,8/13/2023 13:46,8/13/2023 13:46,PROJ-3262,06/07/2023 13:54,36600,מירי לוי ,מדידות לתכנון,,,36,18,48,65,09/06/2023 00:00,
16240-06,03/04/2024 15:25,03/04/2024 15:25,PROJ-3252,06/07/2023 11:37,142800,מירי,מדידות לתכנון,,,27,45,194,65,09/06/2023 00:00,
16629-12-01,5/31/2023 13:12,5/31/2023 13:12,PROJ-2890,5/25/2023 11:55,14400,אלדד,חישוב כמויות,,,5,0,5,18,6/20/2023 0:00,
17115,6/22/2023 10:40,6/22/2023 10:40,PROJ-2859,5/24/2023 14:08,50400,לימור,מדידות לתכנון,,5840,8,18,22,65,8/23/2023 0:00,
16924-03,07/09/2023 09:01,07/09/2023 09:01,PROJ-2537,05/10/2023 10:13,57600,מירי לוי קינן,מדידות לתכנון,,7291.77,8,8,43,65,08/09/2023 00:00,
16393-80,5/15/2023 9:48,5/15/2023 9:48,PROJ-2405,05/04/2023 10:46,25200,מירי,מדידות לתכנון,,-1,18,27,8,65,08/03/2023 00:00,
17102,7/29/2025 14:54,7/29/2025 14:54,PROJ-2078,4/20/2023 10:38,95340,,מדידות לתכנון,,-1,9,9,581,65,7/20/2023 0:00,
15403-52-04,05/03/2023 13:28,05/03/2023 13:28,PROJ-2036,4/19/2023 8:39,91980,מירי,מדידות לתבע,,-1,27,9,11,22,5/21/2023 0:00,
17100,5/22/2023 13:21,5/22/2023 13:21,PROJ-2007,4/18/2023 13:54,12600,מירי לוי קינן,מדידות לתכנון,,7933,28,48,25,65,7/18/2023 0:00,31
16585-43-01,5/21/2023 11:32,5/21/2023 11:32,PROJ-1990,4/18/2023 10:12,115200,אשר אברהרד,מדידת אזמייד,,-1,16,16,24,9,05/01/2023 00:00,
16881-02,4/27/2023 12:41,4/27/2023 12:41,PROJ-1890,04/10/2023 11:02,3600,לימור באואר,מסירת פוליגונים,,2599,0,8,14,93,8/17/2023 0:00,
12018-72,10/15/2023 12:35,10/15/2023 12:35,PROJ-1816,04/03/2023 10:16,10800,לימור,מסירת פוליגונים,,-1,2,9,140,93,08/10/2023 00:00,
16473-29,7/18/2023 15:51,7/18/2023 15:51,PROJ-1747,3/30/2023 13:53,145800,מירי/לימור,מדידות לתכנון,,-1,63,90,79,65,6/29/2023 0:00,37
15403-38-04,11/06/2025 06:36,11/06/2025 06:36,PROJ-1694,3/28/2023 13:00,52200,מירי,מדידות לתכנון,,-1,9,18,665,65,6/27/2023 0:00,
16393-76,4/18/2023 9:14,4/18/2023 9:14,PROJ-1582,3/23/2023 8:01,21600,מירי לוי קינן,מדידות לתכנון,,-1,20,40,19,65,6/22/2023 0:00,90
17083,05/08/2023 08:26,05/08/2023 08:26,PROJ-1497,3/20/2023 13:33,114600,מירי,מדידה להיתר,,20500,18,18,36,38,05/11/2023 00:00,
16709-03,11/27/2025 12:25,11/27/2025 12:25,PROJ-1232,03/12/2023 14:46,112800,מירי לוי קינן,מדידות לתבע,,,9,0,692,22,04/11/2023 00:00,
17017-01,8/18/2025 15:45,8/18/2025 15:45,PROJ-1164,03/09/2023 09:32,7200,,סימון,,-1,18,18,625,88,07/11/2023 00:00,
117522,10/01/2024 09:34,10/01/2024 09:34,PROJ-955,03/01/2023 11:06,738480,,סקר,,,0,0,409,409,10/06/2024 00:00,
15349-60,5/18/2023 14:57,5/18/2023 14:57,PROJ-817,2/19/2023 8:52,274200,מירי,עבודת משרד,,5850,36,18,65,20,3/19/2023 0:00,
17033,10/01/2023 10:25,10/01/2023 10:25,PROJ-699,1/16/2023 14:13,97200,,פיקוח,,-3,10,8,185,185,10/02/2023 00:00,
117522,10/01/2024 09:34,10/01/2024 09:34,MP-2415,1/15/2023 8:54,,,אורתופוטו,,,,,442,131,7/17/2023 0:00,
16863,04/07/2024 10:51,04/07/2024 10:51,MP-2168,1/15/2023 8:52,,,מדידות לתכנון,,,,,321,65,4/16/2023 0:00,58.6
